Category,Subcategory,Neurotransmitter_System,Mode_of_Action,Drug_Name,Classification_Type,PubChem_CID,ChEMBL_ID,DrugBank_ID,KEGG_Drug_ID,Molecular_Formula,Molecular_Weight,SMILES,InChI_Key,Target_Genes,Target_Proteins,Primary_Pathway,Secondary_Pathways,Half_Life_Hours,Bioavailability_Percent,Protein_Binding_Percent,Metabolism_Enzymes,Active_Metabolites,Common_Side_Effects,Serious_Side_Effects,FDA_Black_Box_Warning,Contraindications,Drug_Interactions,Pregnancy_Category,Generic_Available,Brand_Names
Antipsychotic,Typical (1st generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Thioridazine,Former_Terminology,5452,CHEMBL14,DB00679,D00462,C21H26N2S2,370.58,CSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCC4CCN(CC4)C,DYDMKKRSZAXWJT-UHFFFAOYSA-N,"DRD2,HTR2A,ADRA1A,HRH1","D2,5-HT2A,α1,H1 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",21-25,Variable,>90,CYP2D6,Mesoridazine,"Extrapyramidal symptoms,sedation,hypotension,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome,QT prolongation",Increased mortality in dementia-related psychosis,"QT prolongation,retinal pigmentation","QT prolonging drugs,CNS depressants",C,Yes,Mellaril
Antipsychotic,Typical (1st generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Flupenthixol,Former_Terminology,3165,CHEMBL1388,DB00875,D04099,C23H25F3N2OS,434.52,CCN(CC)CCCN1C2=CC(C(F)(F)F)=CC=C2SC3=CC=CC=C13,PHQFBKQTLCZLGR-UHFFFAOYSA-N,"DRD2,HTR2A","D2,5-HT2A receptors",Dopamine/serotonin neurotransmission,Extrapyramidal system,35,40-55,>90,CYP2D6,Unknown,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Fluanxol
Antipsychotic,Typical (1st generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Trifluoperazine,Former_Terminology,5566,CHEMBL14,DB00831,D08635,C21H24F3N3S,407.5,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=CC(C(F)(F)F)=CC=C24,ZEWYCNBZMPELPD-UHFFFAOYSA-N,"DRD2,HTR2A","D2,5-HT2A receptors",Dopamine/serotonin neurotransmission,Extrapyramidal system,13-15,Variable,>90,CYP1A2,Unknown,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Stelazine
Antipsychotic,Typical (1st generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Pipotiazine,Former_Terminology,4830,CHEMBL1201,DB01621,D01610,C24H33N3OS2,443.67,CCN(CC)CCCN1C2=CC=CC=C2SC3=CC(S(=O)(=O)N4CCC(CC4)CCO)=CC=C13,CPJFKIDYXMVDGR-UHFFFAOYSA-N,"DRD2,HTR2A","D2,5-HT2A receptors",Dopamine/serotonin neurotransmission,Extrapyramidal system,Unknown,Unknown,Unknown,Unknown,Unknown,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Piportil
Antipsychotic,Atypical (2nd generation),Dopamine,Receptor antagonist (D2),Amisulpiride,Former_Terminology,2159,CHEMBL833,DB01224,D01425,C17H27N3O4S,369.48,CCN1CCCC1CNC(=O)C2=CC(S(=O)(=O)N)=C(N)C=C2OCC,NTJOBXMMWNYJFB-UHFFFAOYSA-N,"DRD2,DRD3","D2,D3 receptors",Dopamine neurotransmission,Serotonin receptor (minimal),12,48,16,Renal,None active,"Extrapyramidal symptoms,prolactin elevation,insomnia","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,prolactinoma","CNS depressants,dopamine agonists",C,Yes,Solian
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Loxapine,Former_Terminology,3964,CHEMBL42,DB00408,D08120,C18H18ClN3O,327.81,CN1CCN(CC1)C2=NC3=CC(Cl)=CC=C3OC4=CC=CC=C24,XJGFXAXXJBJKQM-UHFFFAOYSA-N,"DRD2,HTR2A,HRH1,ADRA1A","D2,5-HT2A,H1,α1 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",4,33,91-99,"CYP3A4,CYP2D6",8-hydroxyloxapine,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"CNS depression,severe cardiovascular disease","CNS depressants,anticholinergics",C,Yes,Loxitane
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Lurasidone,Former_Terminology,213046,CHEMBL1200971,DB08815,D09639,C28H36N4O2S,492.68,O=C1NC2(CCCCC2)CN1C3CCN(CC3)C4=NC5=CC=CC=C5C6=CC=CC=C46,PQXKDMSYBGKCJA-CVTJIBDQSA-N,"DRD2,HTR2A,HTR7,ADRA2A","D2,5-HT2A,5-HT7,α2 receptors",Dopamine/serotonin neurotransmission,Adrenergic system,18,9-19,99,CYP3A4,"ID-14283,ID-14326","Somnolence,akathisia,nausea,parkinsonism,agitation","Tardive dyskinesia,neuroleptic malignant syndrome,hyperglycemia",Increased mortality in dementia-related psychosis,Dementia-related psychosis,"Strong CYP3A4 inhibitors,CNS depressants",B,Yes,Latuda
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Olanzapine,Former_Terminology,135398745,CHEMBL715,DB00334,D00464,C17H20N4S,312.44,CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(C)S4,KVWDHTXUZHCGIO-UHFFFAOYSA-N,"DRD2,HTR2A,HTR2C,HTR1A","D2,5-HT2A,5-HT2C,5-HT1A receptors",Dopamine/serotonin neurotransmission,"Metabolic,adrenergic,histaminergic",21-54,>85,93,"CYP1A2,CYP2D6",10-N-glucuronide,"Weight gain,sedation,dry mouth,constipation","Metabolic syndrome,tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Narrow-angle glaucoma,CNS depression","CNS depressants,fluvoxamine,ciprofloxacin",C,Yes,Zyprexa
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Perospirone,Former_Terminology,119569,CHEMBL1201,DB12207,D01625,C23H30FN5O2,427.52,CCN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(F)C=C4,Unknown,"DRD2,HTR2A,HTR1A","D2,5-HT2A,5-HT1A receptors",Dopamine/serotonin neurotransmission,Adrenergic system,2.9-4.9,Unknown,Unknown,Unknown,Unknown,"Extrapyramidal symptoms,somnolence,anxiety","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,Dementia-related psychosis,CNS depressants,Unknown,No,Lullan
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Sertindole,Former_Terminology,60987,CHEMBL1688,DB06144,D05792,C24H26ClFN4O,440.94,FC1=CC=C(C2CCN(CC2)C(=O)C3=CC=C(Cl)C4=C3N=C(OCCN5CCOCC5)C=C4)C=C1,HLKPLRGKQJPATR-UHFFFAOYSA-N,"DRD2,HTR2A,ADRA1A","D2,5-HT2A,α1 receptors",Dopamine/serotonin neurotransmission,Adrenergic system,3,60,99.5,"CYP2D6,CYP3A4",Dehydrosertindole,"QT prolongation,ejaculatory failure,nasal congestion","QT prolongation,sudden cardiac death,tardive dyskinesia",Increased mortality in dementia-related psychosis,"QT prolongation,cardiac arrhythmias","QT prolonging drugs,CYP2D6/3A4 inhibitors",Unknown,Yes,Serdolect
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Ziprasidone,Former_Terminology,60854,CHEMBL1222,DB00246,D08687,C21H21ClN4OS,412.94,CCN1CCN(CC1)C2=NSC3=C2C=C(Cl)C=C3NC(=O)C4=CC=C(C=C4)C#N,MVWVFYHBGORFNF-UHFFFAOYSA-N,"DRD2,HTR2A,HTR1A,HTR2C","D2,5-HT2A,5-HT1A,5-HT2C receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",7,60,>99,"CYP3A4,CYP1A2",Benzylisothiazole sulfoxide,"Somnolence,respiratory tract infection,extrapyramidal symptoms","QT prolongation,tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"QT prolongation,recent MI","QT prolonging drugs,CNS depressants",C,Yes,Geodon
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Zotepine,Former_Terminology,5311226,CHEMBL1201,DB08959,D08692,C18H18ClNOS,331.86,CN1CCCCC1=C2C3=CC=CC=C3SC4=CC(Cl)=CC=C24,WZJYKHNJTSNBHV-UHFFFAOYSA-N,"DRD2,HTR2A,HRH1,ADRA1A","D2,5-HT2A,H1,α1 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",13-16,Unknown,Unknown,Unknown,Unknown,"Sedation,constipation,weight gain,hyperprolactinemia","Tardive dyskinesia,neuroleptic malignant syndrome,seizures",Increased mortality in dementia-related psychosis,"Seizure disorders,CNS depression","CNS depressants,anticholinergics",Unknown,Yes,Lodopin
Antipsychotic,Atypical (2nd generation),"Serotonin, Dopamine","Receptor antagonist (5-HT2, D2)",Iloperidone,Former_Terminology,71342,CHEMBL1200906,DB04946,D09994,C24H27FN2O4,426.48,CCN1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(OCCF)C=CC(F)=C3,XADCESSVHJOZHK-UHFFFAOYSA-N,"DRD2,HTR2A,ADRA1A","D2,5-HT2A,α1 receptors",Serotonin/dopamine neurotransmission,Adrenergic system,18-33,96,95,"CYP2D6,CYP3A4","P88,P95","Dizziness,dry mouth,fatigue,nasal congestion,orthostatic hypotension","QT prolongation,tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"QT prolongation,CNS depression","QT prolonging drugs,CYP2D6/3A4 inhibitors",C,Yes,Fanapt
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor partial agonist (D2, 5-HT1A) and receptor antagonist (5-HT2A)",Aripiprazole,Former_Terminology,60795,CHEMBL1112,DB01238,D01164,C23H27Cl2N3O2,448.39,ClC1=CC=C(N2CCN(CCCCOC3=CC4CCC(=O)NC4=CC3Cl)CC2)C=C1,CEUORZURIGDZNW-UHFFFAOYSA-N,"DRD2,DRD3,HTR1A,HTR2A","D2,D3,5-HT1A,5-HT2A receptors",Dopamine/serotonin modulation,Adrenergic system,75-146,87,>99,"CYP2D6,CYP3A4",Dehydroaripiprazole,"Akathisia,nausea,vomiting,constipation,headache","Tardive dyskinesia,neuroleptic malignant syndrome,metabolic changes",Increased mortality in dementia-related psychosis,Dementia-related psychosis,"CYP2D6/3A4 inhibitors,CNS depressants",C,Yes,Abilify
Antipsychotic,Atypical (2nd generation),"Serotonin, Dopamine, Norepinephrine","Receptor antagonist (5-HT2, D2, NE alpha2)",Asenapine,Former_Terminology,11040613,CHEMBL1200907,DB06216,D09639,C17H16ClNO,285.77,Cl.CC1=CC2=C(S1)N3CCNCC3C4=CC=CC=C24,GOTYRUGSSMKFNF-XMGTSRSXSA-N,"DRD2,HTR2A,HTR2C,ADRA2A","D2,5-HT2A,5-HT2C,α2 receptors",Serotonin/dopamine/norepinephrine neurotransmission,"Adrenergic,histaminergic",24,35-44,95,"UGT1A4,CYP1A2",N+-glucuronide,"Somnolence,dizziness,extrapyramidal symptoms,weight gain","Tardive dyskinesia,neuroleptic malignant syndrome,QT prolongation",Increased mortality in dementia-related psychosis,"QT prolongation,severe hepatic impairment","QT prolonging drugs,CNS depressants",C,Yes,Saphris
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin, Norepinephrine","Receptor antagonist (D2, 5-HT2, NE alpha-2)",Clozapine,Former_Terminology,2818,CHEMBL42,DB00363,D00283,C18H19ClN4,326.82,CN1CCN(CC1)C2=NC3=CC(Cl)=CC=C3NC4=CC=CC=C24,QZUDBNBUXVUHMW-UHFFFAOYSA-N,"DRD2,HTR2A,HTR2C,ADRA1A,HRH1","D2,5-HT2A,5-HT2C,α1,H1 receptors",Dopamine/serotonin/norepinephrine neurotransmission,"Adrenergic,histaminergic,muscarinic",8-16,27-50,97,"CYP1A2,CYP3A4,CYP2D6","Norclozapine,clozapine-N-oxide","Sedation,hypersalivation,weight gain,constipation","Agranulocytosis,seizures,myocarditis,cardiomyopathy",Severe neutropenia/agranulocytosis,"Myeloproliferative disorders,severe CNS depression","CNS depressants,CYP1A2 inhibitors",B,Yes,Clozaril
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin, Norepinephrine","Receptor antagonist (D2, 5-HT2, NE alpha-2)",Risperidone,Former_Terminology,5073,CHEMBL85,DB00734,D00426,C23H27FN4O2,410.49,CC1=C(C(=O)N2CCCCC2CCN3C=C4C=CC(F)=CC4=C3C)C=CC=C1,MKXZBLSUWZTCPK-UHFFFAOYSA-N,"DRD2,HTR2A,ADRA1A,ADRA2A","D2,5-HT2A,α1,α2 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",3-20,70,90,"CYP2D6,CYP3A4",9-hydroxyrisperidone,"Extrapyramidal symptoms,prolactin elevation,weight gain","Tardive dyskinesia,neuroleptic malignant syndrome,hyperglycemia",Increased mortality in dementia-related psychosis,Dementia-related psychosis,"CNS depressants,CYP2D6 inhibitors",C,Yes,Risperdal
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin, Norepinephrine","Receptor antagonist (D2, 5-HT2, NE alpha-2)",Paliperidone,Former_Terminology,115237,CHEMBL1621,DB01267,D05339,C23H27FN4O3,426.48,CC1=C(C(=O)N2CCCCC2CCN3C=C4C=C(O)C(F)=CC4=C3C)C=CC=C1,PMXXYUVTCCQRHF-UHFFFAOYSA-N,"DRD2,HTR2A,ADRA1A,ADRA2A","D2,5-HT2A,α1,α2 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",23,28,74,Renal,None active,"Extrapyramidal symptoms,tachycardia,headache,anxiety","Tardive dyskinesia,neuroleptic malignant syndrome,hyperglycemia",Increased mortality in dementia-related psychosis,"Dementia-related psychosis,renal impairment","CNS depressants,QT prolonging drugs",C,Yes,Invega
Antipsychotic,Atypical (2nd generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2) and reuptake inhibitor (NET)(metabolite)",Quetiapine,Former_Terminology,5002,CHEMBL716,DB01224,D01144,C21H25N3O2S,383.51,OCCOCCN1CCN(CC1)C2=NC3=CC=CC=C3SC4=CC=CC=C24,URKOMYMAXPYINW-UHFFFAOYSA-N,"DRD2,HTR2A,HTR1A,ADRA1A","D2,5-HT2A,5-HT1A,α1 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic,metabolic",6,73,83,CYP3A4,Norquetiapine,"Sedation,dry mouth,constipation,orthostatic hypotension","Metabolic syndrome,cataracts,tardive dyskinesia",Increased mortality in dementia-related psychosis,Severe CNS depression,"CNS depressants,CYP3A4 inhibitors/inducers",C,Yes,Seroquel
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Alprazolam,Former_Terminology,2118,CHEMBL661,DB00404,D00225,C17H13ClN4,308.76,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C4=CC=CC=C24N1,VREFGVBLTWBCJP-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,11-15,80-100,80,CYP3A4,4-hydroxyalprazolam,"Sedation,dizziness,confusion,ataxia,memory impairment","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,CYP3A4 inhibitors,alcohol",D,Yes,Xanax
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Chlordiazepoxide,Former_Terminology,2712,CHEMBL14,DB00475,D00267,C16H14ClN3O,299.75,CN(C)CC(=NO)C1=NC2=CC(Cl)=CC=C2C3=CC=CC=C13,ANTSCNMPPGJYLG-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,5-30,>90,90-98,CYP3A4,Desmethylchlordiazepoxide,"Sedation,dizziness,confusion,ataxia,memory impairment","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,CYP3A4 inhibitors,alcohol",D,Yes,Librium
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Clonazepam,Former_Terminology,2802,CHEMBL42,DB01068,D00280,C15H10ClN3O3,315.71,C1=CC=C2C(=C1)C(=NCC(=O)N2)C3=CC=CC=C3Cl,AKPLHCDWDRPJGD-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,30-40,>90,85,CYP3A4,7-aminoclonazepam,"Sedation,dizziness,coordination problems,memory problems","Respiratory depression,dependence,suicidal behavior",None,"Significant liver disease,acute narrow-angle glaucoma","CNS depressants,CYP3A4 inhibitors,alcohol",D,Yes,Klonopin
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Clorazepate,Former_Terminology,2809,CHEMBL1201,DB00628,D00280,C16H11ClN2O3,314.72,OC(=O)C1=CC=CC=C1N2C(=O)CN=C(C3=CC=CC=C3Cl)C4=CC=CC=C24,XDDJGVMJFWAHJX-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,30-200,>90,80-97,CYP3A4,Desmethyldiazepam,"Sedation,dizziness,confusion,ataxia,memory impairment","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,CYP3A4 inhibitors,alcohol",D,Yes,Tranxene
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Diazepam,Former_Terminology,3016,CHEMBL12,DB00829,D00293,C16H13ClN2O,284.74,CN1C(=O)CN=C(C2=CC=CC=C2Cl)C3=CC=CC=C13,AAOVKJBEBIDNHE-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,20-100,>90,98,"CYP2C19,CYP3A4",Desmethyldiazepam,"Sedation,dizziness,confusion,muscle weakness,ataxia","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,CYP2C19/3A4 inhibitors,alcohol",D,Yes,Valium
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Flunitrazepam,Former_Terminology,3380,CHEMBL11,DB01544,D04153,C16H12FN3O3,313.28,CN1C(=O)CN=C(C2=CC(F)=CC=C2[N+](=O)[O-])C3=CC=CC=C13,NHXLMOGDJSYEKA-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,16-35,64-77,80,CYP3A4,7-aminoflunitrazepam,"Sedation,dizziness,confusion,amnesia,ataxia","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,CYP3A4 inhibitors,alcohol",X,Yes,Rohypnol
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Lorazepam,Former_Terminology,3958,CHEMBL580,DB00186,D00365,C15H10Cl2N2O2,321.16,O=C1NC2=C(Cl)C=C(Cl)C=C2C(O)=C1CN3CCCC3,DIWRORZWFLOCLC-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,10-20,>90,85-90,"UGT2B15,UGT2B7",Lorazepam glucuronide (inactive),"Sedation,dizziness,weakness,unsteadiness,memory impairment","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,alcohol,opioids",D,Yes,Ativan
Anxiolytic,Benzodiazepine,GABA,"Positive Allosteric Modulator (GABA-A receptor, benzodiazepine site)",Oxazepam,Former_Terminology,4616,CHEMBL94,DB00842,D00842,C15H11ClN2O2,286.71,C1=CC=C2C(=C1)C(=NCC(=O)N2O)C3=CCC(Cl)CC3,ADIMAYPTOBDMTL-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,4-15,>95,85-95,"UGT2B15,UGT1A9",Oxazepam glucuronide (inactive),"Sedation,dizziness,confusion,ataxia,memory impairment","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,alcohol,opioids",D,Yes,Serax
Anxiolytic,Non-benzodiazepine,Serotonin,Receptor partial agonist (5-HT1A),Buspirone,Former_Terminology,2477,CHEMBL549,DB00490,D00486,C21H31N5O2,385.5,CCCCN1CCN(CC1)CCC(=O)C2=CN=C3N2C=CC(=C3)N4CCN(CC4)C,QWCRAEMEVLMFIN-UHFFFAOYSA-N,HTR1A,5-HT1A receptor,Serotonin neurotransmission,cAMP signaling,2-3,<5,86,CYP3A4,1-pyrimidinylpiperazine,"Dizziness,nausea,headache,nervousness,lightheadedness",Rare serious adverse effects,None,MAOIs,"MAOIs,CYP3A4 inhibitors",B,Yes,BuSpar
Anxiolytic,Non-benzodiazepine,Glutamate,Voltage-gated calcium channel blocker,Gabapentin,Former_Terminology,3446,CHEMBL1200,DB00317,D00332,C9H17NO2,171.24,NCC1(CC(=O)O)CCCCC1,UGJMXCAKCUNAIE-UHFFFAOYSA-N,"CACNA2D1,CACNA2D2",α2δ subunit of calcium channels,Glutamate neurotransmission,Calcium channel modulation,5-7,60,<3,Renal,None active,"Dizziness,somnolence,peripheral edema,ataxia,fatigue","Suicidal ideation,respiratory depression (with opioids)",None,None known,"CNS depressants,opioids,alcohol",C,Yes,Neurontin
Anxiolytic,Non-benzodiazepine,Glutamate,Voltage-gated calcium channel blocker,Pregabalin,Former_Terminology,5486971,CHEMBL1200907,DB00230,D02716,C8H17NO2,159.23,CC(C)CN(CC(=O)O)C,AYXYPKUFHZROOJ-ZETCQYMHSA-N,"CACNA2D1,CACNA2D2",α2δ subunit of calcium channels,Glutamate neurotransmission,Calcium channel modulation,6.3,>90,0,Renal,None active,"Dizziness,somnolence,dry mouth,edema,blurred vision","Suicidal ideation,angioedema,respiratory depression (with opioids)",None,None known,"CNS depressants,opioids,alcohol",C,Yes,Lyrica
Anxiolytic,Non-benzodiazepine,Histamine,Receptor antagonist (H1),Hydroxyzine,Former_Terminology,3658,CHEMBL14,DB00557,D00382,C21H27ClN2O2,374.9,OCCOCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3,ZQDKJGVBAHKLTL-UHFFFAOYSA-N,HRH1,H1 receptor,Histamine neurotransmission,"Anticholinergic,sedative",14-25,>80,Unknown,Hepatic,Cetirizine,"Sedation,dry mouth,dizziness,confusion,urinary retention","QT prolongation,seizures,anticholinergic toxicity",None,"Early pregnancy,severe hepatic dysfunction","CNS depressants,anticholinergics,alcohol",C,Yes,Vistaril
Hypnotic,Benzodiazepine,GABA,Benzodiazepine receptor agonist (GABA-A receptor positive allosteric modulator),Estazolam,Former_Terminology,3270,CHEMBL1201,DB01215,D01041,C16H11ClN4,294.74,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C4=CC=CC=C24N1,CDCHDCWUEXFJJU-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,10-24,93,93,CYP3A4,4-hydroxyestazolam,"Somnolence,hypokinesia,dizziness,abnormal coordination","Respiratory depression,dependence,complex sleep behaviors",None,"Sleep apnea,severe respiratory insufficiency","CNS depressants,CYP3A4 inhibitors,alcohol",X,Yes,ProSom
Hypnotic,Benzodiazepine,GABA,Benzodiazepine receptor agonist (GABA-A receptor positive allosteric modulator),Eszopiclone,Former_Terminology,969472,CHEMBL1200908,DB00402,D01954,C17H17ClN6O3,388.81,CC1=CN=C(N=C1N)C(=O)N2CCCC2CN(C3=CC=C(Cl)C=C3)C(=O)C4=CC=CC=N4,GBBSUAFBMRNDJC-UHFFFAOYSA-N,"GABRA1,GABRB2,GABRG2",GABA-A receptor (α1β2γ2),GABA neurotransmission,Chloride channel modulation,6,52-59,52-59,"CYP3A4,CYP2E1",S-desmethylzopiclone,"Unpleasant taste,headache,somnolence,dizziness","Complex sleep behaviors,memory impairment,dependence",Complex sleep behaviors,"Sleep apnea,severe hepatic impairment","CNS depressants,CYP3A4 inhibitors",C,Yes,Lunesta
Hypnotic,Benzodiazepine,GABA,Benzodiazepine receptor agonist (GABA-A receptor positive allosteric modulator),Flunitrazepam,Former_Terminology,3380,CHEMBL11,DB01544,D04153,C16H12FN3O3,313.28,CN1C(=O)CN=C(C2=CC(F)=CC=C2[N+](=O)[O-])C3=CC=CC=C13,NHXLMOGDJSYEKA-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,16-35,64-77,80,CYP3A4,7-aminoflunitrazepam,"Sedation,dizziness,confusion,amnesia,ataxia","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,CYP3A4 inhibitors,alcohol",X,Yes,Rohypnol
Hypnotic,Benzodiazepine,GABA,Benzodiazepine receptor agonist (GABA-A receptor positive allosteric modulator),Lormetazepam,Former_Terminology,3958,CHEMBL1201,DB01386,D00365,C16H12Cl2N2O2,335.19,O=C1NC2=C(Cl)C=C(Cl)C=C2C(O)=C1CN3CCCC3C,HWATZEJQIXKWQS-UHFFFAOYSA-N,"GABRA1,GABRA2,GABRA3,GABRA5,GABRB1,GABRB2,GABRB3,GABRG2",GABA-A receptor subunits,GABA neurotransmission,Chloride channel modulation,10-12,>80,85-90,"UGT2B15,UGT2B7",Lorazepam (active),"Sedation,dizziness,weakness,memory impairment","Respiratory depression,dependence,cognitive impairment",None,"Acute narrow-angle glaucoma,severe respiratory insufficiency","CNS depressants,alcohol,opioids",D,Yes,Noctamid
