target_table,disease_name,mondo_id,cluster,rdoc_domain,rdoc_construct,rdoc_subconstruct,hitop_spectrum,hitop_subfactor,sign,magnitude,weight,n_sources,sources,evidence_note
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,-1,0.85,-0.850,3,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Bore 2024 Psychol Med PMID:37997708 doi:10.1017/S0033291723003410; Zhang 2016 Brain Imaging Behav PMID:26487590 doi:10.1007/s11682-015-9457-6,Reduced subgenual ACC and striatal reactivity during reward receipt/outcome (hedonic 'liking' deficit); consummatory anhedonia component.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Positive Valence Systems,Reward Learning,Probabilistic and Reinforcement Learning,,,-1,0.75,-0.750,2,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Blunted reward-driven response bias/reinforcement learning in MDD (probabilistic reward task); linked to phasic dopamine signaling deficits.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Positive Valence Systems,Reward Valuation,Effort,,,-1,0.7,-0.700,2,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Reduced willingness to expend effort for reward (EEfRT paradigm); maps to motivational anhedonia and links to HiTOP Distress.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Cognitive Systems,Attention,,,,-1,0.7,-0.700,1,Rock 2014 Psychol Med PMID:24168753 doi:10.1017/S0033291713002535,Meta-analyzed moderate attention deficits in symptomatic and remitted MDD (Cohen's d≈-0.52 to -0.61).
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Cognitive Systems,Declarative Memory,,,,-1,0.55,-0.550,1,Rock 2014 Psychol Med PMID:24168753 doi:10.1017/S0033291713002535,Meta-analyzed small-to-moderate memory deficits (d≈-0.22 to -0.54); negative-memory bias and verbal recall impairments.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Cognitive Systems,Cognitive Control,,,,-1,0.75,-0.750,2,Rock 2014 Psychol Med PMID:24168753 doi:10.1017/S0033291713002535; Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Meta-analyzed moderate executive function deficits (d≈-0.52 to -0.61) persisting through remission; impaired goal selection and inhibition.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Cognitive Systems,Working Memory,,,,-1,0.6,-0.600,1,Rock 2014 Psychol Med PMID:24168753 doi:10.1017/S0033291713002535,Small-to-moderate working memory deficits in MDD; partial persistence into remission.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Social Processes,Affiliation and Attachment,,,,-1,0.55,-0.550,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Reduced social motivation/affiliative drive (social anhedonia and withdrawal); linked to ventral striatum hypoactivity to social rewards.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Social Processes,Perception and Understanding of Self,Self-Knowledge,,,1,0.55,+0.550,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,"Excessive negative self-focused processing (worthlessness, guilt) — gain in maladaptive self-referential processing; DSM-5 Criterion A7."
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Arousal and Regulatory Systems,Circadian Rhythms,,,,-1,0.55,-0.550,1,Baglioni 2016 Psychol Bull PMID:27416139,"Disrupted circadian phase and amplitude (diurnal mood variation, reduced amplitude of activity and core temperature rhythms)."
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Arousal and Regulatory Systems,Sleep-Wakefulness,,,,-1,0.85,-0.850,2,Baglioni 2016 Psychol Bull PMID:27416139; Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,"Meta-analyzed polysomnographic sleep continuity disturbances (insomnia dominant: reduced total sleep, reduced REM latency, reduced SWS) — loss of consolidated sleep."
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Sensorimotor Systems,Motor Actions,Initiation,,,-1,0.65,-0.650,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Psychomotor retardation (slowed motor initiation and execution) is a DSM-5 diagnostic feature; dominant direction is loss/slowing although agitation occurs in subset.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Negative Valence Systems,Sustained Threat,,,,1,0.55,+0.550,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Chronic stress system activation; elevated baseline stress reactivity contributes to chronicity.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Negative Valence Systems,Loss,,,,1,0.65,+0.650,2,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Kotov 2021 Annu Rev Clin Psychol PMID:33577350 doi:10.1146/annurev-clinpsy-081219-093304,Chronic dysphoric mood and hopelessness (DSM-5 PDD criterion A); excess negative-loss-content cognition over ≥2 years.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.55,-0.550,2,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Anhedonia/reward dysfunction shared with MDD but generally lower magnitude given chronic low-grade presentation; reward anticipation blunting reported.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,-1,0.5,-0.500,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Reduced hedonic capacity/consummatory pleasure; lower magnitude than acute MDD but chronic.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Cognitive Systems,Cognitive Control,,,,-1,0.5,-0.500,1,Rock 2014 Psychol Med PMID:24168753 doi:10.1017/S0033291713002535,Cognitive deficits shared with MDD persist through low-grade chronic depressive states; modest effect sizes.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Arousal and Regulatory Systems,Sleep-Wakefulness,,,,-1,0.55,-0.550,1,Baglioni 2016 Psychol Bull PMID:27416139,Insomnia (or less commonly hypersomnia) is a DSM-5 PDD criterion B feature; sleep continuity disturbance reported in dysthymic samples.
RDoC,Persistent depressive disorder (dysthymia),MONDO:0001942,B_mood,Sensorimotor Systems,Motor Actions,Initiation,,,-1,0.45,-0.450,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Low energy/fatigue is a DSM-5 PDD criterion (low motor drive); milder than melancholic MDD psychomotor retardation.
RDoC,Generalized anxiety disorder,MONDO:0005618,C_anxiety,Negative Valence Systems,"Potential Threat (""Anxiety"")",,,,1,0.9,+0.900,3,33414442; 30035026; 33627201,GAD shows excess threat-anticipatory responding: BNC210 trial in GAD patients shows amygdala-modulated defensive flight behaviour (PMID 33414442); GAD shows elevated limbic (amygdala/hippocampus/VMPFC/sgACC) resting connectivity predicting attention-to-threat bias (PMID 30035026); antidepressants in GAD modulate amygdala in affect network (PMID 33627201). Sign +1 = release/excess anticipatory threat.
RDoC,Generalized anxiety disorder,MONDO:0005618,C_anxiety,Negative Valence Systems,Sustained Threat,,,,1,0.55,+0.550,2,33414442; 30035026,Persistent worry maps to sustained threat dimension; benzodiazepine-sensitive defensive behaviour (PMID 33414442) and sustained limbic hyperconnectivity (PMID 30035026) consistent with chronic threat anticipation.
RDoC,Generalized anxiety disorder,MONDO:0005618,C_anxiety,Cognitive Systems,Attention,,,,-1,0.55,-0.550,3,37359641; 30035026; 42191132,GAD shows attentional control deficits and attention-to-threat bias (PMID 30035026); mindfulness training partially restores attention (PMID 37359641); meta-analytic data show heterogeneous attention scores with cognitive subdomain decrements (PMID 42191132).
RDoC,Generalized anxiety disorder,MONDO:0005618,C_anxiety,Cognitive Systems,Cognitive Control,"Goal Selection; Updating, Representation, and Maintenance",,,-1,0.4,-0.400,2,42191132; 37359641,Meta-analysis of longitudinal cognition in GAD reports mixed but generally negative effects on executive subscores partially reversed by CBT (PMID 42191132); mindfulness reduces worry-related goal-maintenance impairment (PMID 37359641).
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Negative Valence Systems,"Potential Threat (""Anxiety"")",,,,1,0.7,+0.700,2,29410103; 33636680,OCD obsessions trigger anticipatory anxiety; frontoparietal/salience/default-mode network meta-analysis (541 patients) supports threat-monitoring abnormalities (PMID 29410103); HiTOP analysis places OCD with anxiety/fear in shared internalizing dimension (PMID 33636680).
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Cognitive Systems,Cognitive Control,,,,-1,0.6,-0.600,2,34968087; 29410103,OCD shows broad cognitive-control deficits; frontoparietal network hypoconnectivity (PMID 29410103); stop-signal SSRT deficit (PMID 34968087).
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Cognitive Systems,Cognitive Control,Response Selection; Inhibition/Suppression,,,-1,0.9,-0.900,2,34968087; 25866081,"Stop-signal meta-analysis shows OCD has significantly longer SSRT than controls (raw difference 23.43 ms, p<0.001), indicating inhibitory control deficit (PMID 34968087); pediatric OCD neuropsych meta-analysis is more mixed but shows the same direction (PMID 25866081)."
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Cognitive Systems,Cognitive Control,Performance Monitoring,,,1,0.7,+0.700,2,29410103; 30368070,"OCD shows excess performance monitoring / error signaling: dysconnectivity within and between frontoparietal, default-mode, and salience networks (PMID 29410103); increased ReHo in dorsomedial PFC (PMID 30368070). Sign +1 reflects gain in monitoring/checking drive."
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Cognitive Systems,Working Memory,Interference Control,,,-1,0.4,-0.400,1,25866081,Pediatric OCD meta-analysis reports small interference-control / working-memory effects (PMID 25866081).
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Sensorimotor Systems,Motor Actions,Inhibition and Termination,,,-1,0.6,-0.600,1,34968087,Stop-signal reaction time slowing in OCD reflects impaired motor inhibition/termination (PMID 34968087).
RDoC,Obsessive-compulsive disorder,MONDO:0005491,C_anxiety,Sensorimotor Systems,Habit - Sensorimotor,,,,1,0.55,+0.550,2,29410103; 30368070,Compulsions are conceptualized as released habit-driven motor behaviour; OCD shows aberrant fronto-striatal connectivity supporting habit-system release (PMID 29410103); local fronto-striatal connectivity alterations (PMID 30368070). Sign +1 = release of habit motor output.
RDoC,Panic disorder,MONDO:0005340,C_anxiety,Negative Valence Systems,"Acute Threat (""Fear"")",,,,1,0.85,+0.850,2,38765308; 33627201,"Voxel-wise meta-analysis (954 subjects) shows gray matter alterations in right amygdala and para-cingulate gyrus in panic disorder, consistent with acute threat circuitry release (PMID 38765308); antidepressants modulate amygdala in panic patients (PMID 33627201)."
RDoC,Panic disorder,MONDO:0005340,C_anxiety,Negative Valence Systems,"Potential Threat (""Anxiety"")",,,,1,0.55,+0.550,2,38765308; 33627201,Anticipatory anxiety between attacks engages potential-threat circuitry; meta-analytic gray matter changes in cingulate-frontal regions (PMID 38765308); affect-network modulation by treatment (PMID 33627201).
RDoC,Panic disorder,MONDO:0005340,C_anxiety,Cognitive Systems,Cognitive Control,,,,-1,0.35,-0.350,1,33848752,Mini-review of executive function in panic disorder finds selective deficits in attention/set-shifting/decision-making/working memory in a subset of studies; effect is small and inconsistent (PMID 33848752).
RDoC,Panic disorder,MONDO:0005340,C_anxiety,Arousal and Regulatory Systems,Arousal,,,,1,0.65,+0.650,2,38765308; 33848752,Autonomic surges are core to panic attacks; amygdala-prefrontal circuit abnormalities (PMID 38765308) drive autonomic hyperarousal; executive review notes arousal-cognition interactions (PMID 33848752).
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Negative Valence Systems,"Acute Threat (""Fear"")",,,,1,0.85,+0.850,2,36100907; 33581490,Trauma-cue reactivity engages amygdala-mPFC fear circuitry (PMID 36100907); fear loading is a core HiTOP-mapped PTSD dimension (PMID 33581490).
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Negative Valence Systems,Sustained Threat,,,,1,0.9,+0.900,3,36100907; 25365762; 33581490,"PTSD shows convergent medial PFC structural alterations with widespread frontoparietal/limbic connectivity (PMID 36100907); sustained intrusions, hyperarousal, avoidance are core features (PMID 33581490); meta-analytic neurocognitive review (4108 subjects) confirms chronic threat-related processing changes (PMID 25365762)."
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Cognitive Systems,Attention,,,,-1,0.85,-0.850,2,25365762; 33490372,Attention/working memory deficit (d=-0.50) in PTSD meta-analysis (PMID 25365762); elderly survivors meta-analysis confirms TMT-A/B and Digit Span deficits (PMID 33490372).
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Cognitive Systems,Declarative Memory,,,,1,0.65,+0.650,2,33581490; 36100907,Intrusive memories (re-experiencing) reflect involuntary release/over-retrieval of trauma-encoded declarative memory; re-experiencing is the most psychopathology-saturated PTSD symptom cluster (PMID 33581490); hippocampal-mPFC dysfunction supports this (PMID 36100907). Sign +1 = excess/release.
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Cognitive Systems,Declarative Memory,,,,-1,0.85,-0.850,2,25365762; 33490372,Voluntary declarative memory is impaired: meta-analysis (4108 subjects) shows large verbal-learning (d=-0.62) and verbal-memory (d=-0.46) deficits (PMID 25365762); elderly-survivor meta-analysis confirms explicit memory deficits (PMID 33490372). Sign -1 captures voluntary retrieval/encoding deficit (paradoxical to intrusion +1).
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Cognitive Systems,Cognitive Control,,,,-1,0.65,-0.650,2,25365762; 33490372,Executive-function deficits in PTSD documented across multiple test domains in two meta-analyses (PMIDs 25365762; 33490372).
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Cognitive Systems,Working Memory,,,,-1,0.6,-0.600,2,25365762; 33490372,Working-memory deficit (d=-0.50 combined with attention) in PTSD (PMID 25365762); Digit Span backward decrement (PMID 33490372).
RDoC,Post-traumatic stress disorder,MONDO:0005711,C_anxiety,Arousal and Regulatory Systems,Arousal,,,,1,0.85,+0.850,2,36100907; 25365762,Hyperarousal is a defining cluster of PTSD; meta-analytic VBM/FC shows arousal-network alterations (PMID 36100907); hyperarousal correlates with cognitive slowing in 4108-subject meta-analysis (PMID 25365762).
RDoC,Social anxiety disorder,MONDO:0002052,C_anxiety,Negative Valence Systems,"Acute Threat (""Fear"")",,,,1,0.6,+0.600,2,26341469; 37315657,Phasic fear responses to social scrutiny: increased amygdala/globus pallidus activation (PMID 26341469); enlarged P2 amplitudes to threat-related facial expressions (PMID 37315657).
RDoC,Social anxiety disorder,MONDO:0002052,C_anxiety,Negative Valence Systems,"Potential Threat (""Anxiety"")",,,,1,0.85,+0.850,3,26341469; 34000291; 30140607,Meta-analyses show SAD patients have amygdala hyperactivation to faces (PMID 26341469); enlarged dorsal striatum gray matter linked to symptom severity (PMID 30140607); threat-related attentional bias to angry faces (PMID 34000291).
RDoC,Social anxiety disorder,MONDO:0002052,C_anxiety,Social Processes,Affiliation and Attachment,,,,-1,0.55,-0.550,2,34000291; 30140607,Avoidance of social contact and reduced eye-contact behaviour reflects diminished affiliative engagement (PMID 34000291); dorsal striatum gray-matter alterations track social symptom severity (PMID 30140607).
RDoC,Social anxiety disorder,MONDO:0002052,C_anxiety,Social Processes,Social Communication,Reception of Facial Communication,,,-1,0.85,-0.850,3,37315657; 34000291; 26341469,Meta-analyses identify face perception attentional bias and altered ERPs (P1/P2/P3/LPP) (PMID 37315657); eye-tracking shows reduced eye contact with emotional faces (PMID 34000291); altered face-processing network (PMID 26341469). Reception of facial communication is impaired in SAD.
RDoC,Social anxiety disorder,MONDO:0002052,C_anxiety,Social Processes,Social Communication,Production of Facial Communication,,,-1,0.35,-0.350,1,34000291,Eye-contact avoidance / hyperscanning observed in SAD reflect production-side facial communication alterations (PMID 34000291).
RDoC,Specific phobia,MONDO:0005570,C_anxiety,Negative Valence Systems,"Acute Threat (""Fear"")",,,,1,0.9,+0.900,2,23711114; 23095586,"Activation-likelihood meta-analysis (13 studies, 327 subjects) shows phobic stimuli elicit increased activation in left amygdala/globus pallidus, insula, and thalamus relative to controls; reversed by CBT (PMID 23711114); narrative review confirms right amygdala/ACC hyperactivation reduced after exposure (PMID 23095586)."
RDoC,Specific phobia,MONDO:0005570,C_anxiety,Negative Valence Systems,"Potential Threat (""Anxiety"")",,,,1,0.4,+0.400,1,23095586,Anticipatory anxiety toward phobic objects engages potential-threat circuitry; treatment review notes anticipation and avoidance components (PMID 23095586).
RDoC,Specific phobia,MONDO:0005570,C_anxiety,Cognitive Systems,Attention,,,,1,0.35,+0.350,1,23711114,Increased thalamus/pulvinar activation to phobic stimuli reflects involuntary attentional capture by feared stimuli (PMID 23711114). Sign +1 = excess threat-attention capture.
RDoC,Specific phobia,MONDO:0005570,C_anxiety,Sensorimotor Systems,Innate Motor Patterns,,,,1,0.4,+0.400,2,23711114; 34173160,"Defensive innate motor patterns (freezing, withdrawal) are released by phobic exposure; engagement of basal ganglia/globus pallidus on imaging (PMID 23711114); VR exposure paradigms target same defensive responses (PMID 34173160)."
RDoC,Alcohol use disorder,MONDO:0007079,D_neurodev_other,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.75,-0.750,3,Wrase 2007 NeuroImage PMID:17008108; Luijten 2017 JAMA Psychiatry PMID:28324892; Balodis & Potenza 2015 Biol Psychiatry PMID:25861700,Blunted ventral striatum activation during anticipation of NON-DRUG monetary reward (MID task) - deficit in general reward anticipation.
RDoC,Alcohol use disorder,MONDO:0007079,D_neurodev_other,Positive Valence Systems,Reward Learning,Reward Prediction Error,,,1,0.75,+0.750,2,Park 2010 J Neurosci; Garbusow 2016 Addict Biol PMID:25940367,Augmented Pavlovian-instrumental transfer / aberrant cue-induced RPE for alcohol-related stimuli.
RDoC,Alcohol use disorder,MONDO:0007079,D_neurodev_other,Positive Valence Systems,Reward Learning,Habit - PVS,,,1,0.9,+0.900,3,Everitt & Robbins 2016 Annu Rev Psychol PMID:26393668; Hogarth 2018 Neuropsychopharmacology PMID:29154371; Lüscher 2020 Annu Rev Neurosci PMID:32220825,Transition from goal-directed to habitual / compulsive alcohol seeking = +1 RELEASE of habit system.
RDoC,Alcohol use disorder,MONDO:0007079,D_neurodev_other,Positive Valence Systems,Reward Valuation,Delay,,,1,0.8,+0.800,2,MacKillop 2011 Psychopharmacology PMID:21161184; Amlung 2017 Addiction PMID:27786386,Steeper delay discounting in AUD; meta-analytic effect d≈0.4-0.6.
RDoC,Alcohol use disorder,MONDO:0007079,D_neurodev_other,Cognitive Systems,Cognitive Control,Response Selection; Inhibition/Suppression,,,-1,0.85,-0.850,3,Smith 2014 Drug Alcohol Depend PMID:24507822; Stavro 2013 Addict Biol PMID:22458455; Wilcox 2014 Drug Alcohol Depend PMID:24333265,"Impaired response inhibition (Stop-signal, Go/No-Go) replicated in AUD across studies."
RDoC,Alcohol use disorder,MONDO:0007079,D_neurodev_other,Arousal and Regulatory Systems,Arousal,,,,1,0.55,+0.550,2,Koob & Volkow 2016 Lancet Psychiatry PMID:27475769; Heilig 2016 Nat Rev Neurosci PMID:27795558,Withdrawal hyperarousal / negative emotional state; allostatic load in addiction cycle.
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Negative Valence Systems,"Acute Threat (""Fear"")",,,,1,0.7,+0.700,2,Strober 2004 Int J Eat Disord PMID:15282689; Kaye 2009 Nat Rev Neurosci PMID:19455173,Intense fear of weight gain - core diagnostic phobic feature; elevated amygdala reactivity to food cues.
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,-1,0.8,-0.800,3,Kaye 2013 Trends Neurosci PMID:23290152; O'Hara 2015 Neurosci Biobehav Rev PMID:26252882; Frank 2013 Curr Opin Pediatr PMID:23963630,Reduced hedonic response to food and decreased ventral-striatal reward signaling = -1 initial reward response.
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Positive Valence Systems,Reward Valuation,Effort,,,-1,0.6,-0.600,2,Park 2014 Mol Psychiatry; AN effort-based decision making; Wierenga 2015 Trends Neurosci PMID:25670010,Reduced willingness to expend effort for food reward (related to anhedonia-for-food).
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Cognitive Systems,Perception,Olfactory/Somatosensory/Multimodal Perception,,,-1,0.6,-0.600,2,Khalsa 2015 Curr Opin Psychiatry PMID:26397875; Jenkinson 2018 J Psychosom Res PMID:30122270,Interoceptive deficits (impaired body-state perception) reported across studies.
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Cognitive Systems,Cognitive Control,Response Selection; Inhibition/Suppression,,,1,0.7,+0.700,2,Bartholdy 2017 Psychol Bull PMID:28368148; Wu 2014 Psychol Med PMID:24016675,Enhanced cognitive inhibitory control in restrictive AN (opposite direction to most psychiatric disorders).
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Social Processes,Perception and Understanding of Self,Agency,,,-1,0.65,-0.650,2,Gadsby 2017 Conscious Cogn PMID:28342322; Eshkevari 2014 Psychol Med PMID:23938733,Disturbed body ownership / agency over body (rubber-hand and related paradigms).
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Social Processes,Perception and Understanding of Self,Self-Knowledge,,,1,0.75,+0.750,2,Gaudio 2014 Neurosci Biobehav Rev PMID:24239733; Mohr 2010 Psychol Med PMID:20144253,Body-image distortion (overestimation of body size) = +1 RELEASE/distortion of self-representation.
RDoC,Anorexia nervosa,MONDO:0005351,D_neurodev_other,Sensorimotor Systems,Motor Actions,Inhibition and Termination,,,1,0.85,+0.850,3,Wu 2014 Psychol Med PMID:24016675; Bartholdy 2017 Psychol Bull PMID:28368148; Galimberti 2012 Psychiatry Res PMID:21899890,Excessive inhibitory control / overcontrol; AN shows enhanced response inhibition (Stop-signal d≈+0.3-0.5 in restrictive type) = +1 in inhibition.
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Negative Valence Systems,"Acute Threat (""Fear"")",,,,-1,0.75,-0.750,2,Birbaumer 2005 Arch Gen Psychiatry PMID:15710867; Blair 2013 Nat Rev Neurosci PMID:23739189,Reduced amygdala fear reactivity / fear conditioning deficits central to psychopathy.
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Positive Valence Systems,Reward Learning,Reward Prediction Error,,,1,0.65,+0.650,2,Buckholtz 2010 Nat Neurosci PMID:20473289; Glenn & Yang 2012 Biol Psychiatry PMID:22381729,Hyperreactive striatal dopamine RPE / reward-prediction-error signaling associated with impulsive antisocial traits and risk-taking.
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Cognitive Systems,Cognitive Control,Response Selection; Inhibition/Suppression,,,-1,0.75,-0.750,3,Morgan & Lilienfeld 2000 Clin Psychol Rev PMID:10670974; Smith 2014 (psychopathy meta-analyses); Pennington & Ozonoff 1996 J Child Psychol Psychiatry PMID:8655658,Impaired response inhibition and executive dysfunction documented in ASPD and psychopathy.
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Social Processes,Affiliation and Attachment,,,,-1,0.75,-0.750,2,Blair 2013 Nat Rev Neurosci PMID:23739189; Frick 2014 Psychol Bull PMID:24364359,Reduced affiliative bonding / callous-unemotional traits = -1 affiliation.
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Social Processes,Perception and Understanding of Others,Understanding Mental States,,,-1,0.5,-0.500,2,Brook & Kosson 2013 Personal Disord PMID:23586906; Bigot 2025 Personal Disord PMID:39760725,Cognitive empathy/ToM modestly impaired; affective empathy more reliably reduced. Self-other distinction deficits.
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Arousal and Regulatory Systems,Arousal,,,,-1,0.85,-0.850,3,de Looff 2021 Neurosci Biobehav Rev PMID:33485837; Portnoy & Farrington 2015 Aggress Violent Behav; Lorber 2004 Psychol Bull PMID:15250812,"Reduced autonomic arousal (low resting heart rate, skin conductance) is among the most replicated correlates of antisocial behavior."
RDoC,Antisocial personality disorder,MONDO:0005232,D_neurodev_other,Sensorimotor Systems,Motor Actions,Inhibition and Termination,,,-1,0.6,-0.600,2,Morgan & Lilienfeld 2000 Clin Psychol Rev PMID:10670974; Smith 2014 (psychopathy meta-analyses),Motor-inhibition impairment converges with response inhibition data.
RDoC,Attention deficit hyperactivity disorder,MONDO:0007743,D_neurodev_other,Positive Valence Systems,Reward Valuation,Delay,,,1,0.85,+0.850,3,Jackson & MacKillop 2016 Biol Psychiatry Cogn Neurosci Neuroimaging PMID:27722208; Patros 2016 Clin Psychol Rev PMID:26602954; Doidge 2018 J Atten Disord PMID:30596297,Steeper delay discounting (increased preference for immediate over delayed rewards) = +1 impulsive choice / RELEASE in valuation of immediate reward.
RDoC,Attention deficit hyperactivity disorder,MONDO:0007743,D_neurodev_other,Cognitive Systems,Attention,,,,-1,0.95,-0.950,3,Pievsky & McGrath 2018 Arch Clin Neuropsychol PMID:29220436; Willcutt 2005 Biol Psychiatry PMID:15950006; Huang-Pollock 2012 J Abnorm Psychol PMID:22149911,Sustained attention/CPT deficits with large effect sizes (d~0.6-0.9) replicated across meta-analyses.
RDoC,Attention deficit hyperactivity disorder,MONDO:0007743,D_neurodev_other,Cognitive Systems,Cognitive Control,"Goal Selection; Updating, Representation, and Maintenance",,,-1,0.8,-0.800,2,Willcutt 2005 Biol Psychiatry PMID:15950006; Kofler 2019 J Abnorm Child Psychol PMID:30617673,Goal-directed control / set-shifting impaired across studies.
RDoC,Attention deficit hyperactivity disorder,MONDO:0007743,D_neurodev_other,Cognitive Systems,Cognitive Control,Response Selection; Inhibition/Suppression,,,-1,0.9,-0.900,3,Lipszyc & Schachar 2010 J Int Neuropsychol Soc PMID:20663226; Willcutt 2005 Biol Psychiatry PMID:15950006; Schroeder 2020 Brain Stimul PMID:32442624,Stop-signal reaction time prolonged; response inhibition impairment is one of the most replicated ADHD endophenotypes.
RDoC,Attention deficit hyperactivity disorder,MONDO:0007743,D_neurodev_other,Cognitive Systems,Cognitive Control,Performance Monitoring,,,-1,0.7,-0.700,2,Shiels & Hawk 2010 Clin Psychol Rev PMID:20471154; Geburek 2013 J Affect Disord PMID:23896319,Reduced error-related negativity and impaired error monitoring across studies.
RDoC,Attention deficit hyperactivity disorder,MONDO:0007743,D_neurodev_other,Cognitive Systems,Working Memory,Active Maintenance,,,-1,0.85,-0.850,3,Martinussen 2005 J Am Acad Child Adolesc Psychiatry PMID:15782085; Kasper 2012 Clin Psychol Rev PMID:22459789; Ramos 2020 Neurosci Biobehav Rev PMID:32629061,Both verbal and spatial working memory impaired; meta-analytic effect sizes d~0.5-0.7.
